Date,Symbol,Order,Shares
2010-01-15,AAPL,BUY,200
2010-02-17,AAPL,SELL,200
2010-02-25,AAPL,BUY,200
2010-03-26,AAPL,SELL,200
2010-03-30,AAPL,BUY,200
2010-06-02,AAPL,SELL,200
2010-07-01,AAPL,BUY,200
2010-07-14,AAPL,BUY,200
2010-09-14,AAPL,BUY,200
2010-11-17,AAPL,BUY,200
2011-01-19,AAPL,BUY,200
2011-02-17,AAPL,SELL,200
2011-02-22,AAPL,BUY,200
2011-05-11,AAPL,BUY,200
2011-06-10,AAPL,SELL,400
2011-07-12,AAPL,BUY,200
2011-07-13,AAPL,BUY,200
2011-08-11,AAPL,SELL,200
2011-08-23,AAPL,SELL,200
2011-09-22,AAPL,BUY,200
2011-09-26,AAPL,BUY,200
2011-11-30,AAPL,SELL,200
2011-12-30,AAPL,BUY,400
